time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1049.9526031523,0.328084,0,0,0,6,0,0,1049.9526031523,0,0,0,0,0,0,100.2, -0.5, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,101.1,0,0,98,3.942,3.911,3.917,0,0,0,0,52.34,1049.9526031523,0,41,Motors_Started,
100,2025-01-07 01:02:58,0,0,0,,,1049.9526031523,0.328084,0,0,0,6,0,0,1049.9526031523,0,0,0,0,0,0,100.2, -0.5, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,101.1,0,0,98,3.942,3.911,3.917,0,0,0,0,52.34,1049.9526031523,0,41,Motors_Started,
200,2025-01-07 01:02:58,0,0,0,,,1049.9526031523,0.328084,0,0,0,6,0,0,1049.9526031523,0,0,0,0,0,0,100.1, -0.5, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,101.1,0,0,98,3.942,3.911,3.917,0,0,0,0,52.34,1049.9526031523,0,41,Motors_Started,
300,2025-01-07 01:02:58,0,0,0,,,1049.9526031523,0.328084,0,0,0,6,0,0,1049.9526031523,0,0,0,0,0,0,100.1, -0.5, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,101.1,0,0,98,3.942,3.911,3.917,0,0,0,0,52.34,1049.9526031523,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 8. Setting new Maximum Flight Altitude to 30m (98 ft)"
400,2025-01-07 01:02:58,0,0,0,,,1049.9526031523,0.328084,0,0,0,6,0,0,1049.9526031523,0,0,0,0,0,0,100.1, -0.6, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,101.1,0,0,98,3.942,3.911,3.917,0,0,0,0,52.34,1049.9526031523,0,41,Motors_Started,
500,2025-01-07 01:02:58,0,0,0,,,1049.9526031523,0.328084,0,0,0,6,0,0,1049.9526031523,0,0,0,0,0,0,100.1, -0.4, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,101.1,0,0,98,3.942,3.911,3.917,0,0,0,0,52.34,1049.9526031523,0,41,Motors_Started,
600,2025-01-07 01:02:58,0,0,0,,,1049.9526031523,0.328084,0,0,0,6,0,0,1049.9526031523,0,0,0,0,0,0,100.1, -0.6, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,101.1,0,0,98,3.942,3.911,3.917,0,0,0,0,52.34,1049.9526031523,0,41,Motors_Started,
700,2025-01-07 01:02:58,0,0,0,,,1049.9526031523,0.328084,0,0,0,6,0,0,1049.9526031523,0,0,0,0,0,0,99.8, 0, 0.7,0,0,1024,1024,1024,1024,0,0,0,0,101.1,0,0,98,3.942,3.911,3.917,0,0,0,0,52.34,1049.9526031523,0,41,Motors_Started,
800,2025-01-07 01:02:59,0,0,0,,,1049.9526031523,0.328084,0,0,0,6,0,0,1049.9526031523,0,0,0,0,0,0,100.1, -0.4, 0.7,0,0,1024,1024,1024,1024,0,0,0,0,101.1,0,0,98,3.942,3.911,3.917,0,0,0,0,52.34,1049.9526031523,0,41,Motors_Started,
900,2025-01-07 01:02:59,0,0,0,,,1049.9526031523,0.328084,0,0,0,6,0,0,1049.9526031523,0,0,0,0,0,0,99.9, -0.4, 0.7,0,0,1024,1024,1024,1024,0,0,0,0,101.1,0,0,98,3.942,3.911,3.917,0,0,0,0,52.34,1049.9526031523,0,41,Motors_Started,
1000,2025-01-07 01:02:59,0,0,0,,,1049.9526031523,0.328084,0,0,0,6,0,0,1049.9526031523,0,0,0,0,0,0,99.4, -0.5, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,101.1,0,0,98,3.942,3.911,3.917,0,0,0,0,52.34,1049.9526031523,0,41,Motors_Started,
1100,2025-01-07 01:02:59,0,0,0,,,1049.9526031523,0.328084,0,0,0,6,0,0,1049.9526031523,0,0,0,0,0,0,100.2, -0.6, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,101.1,0,0,98,3.942,3.911,3.917,0,0,0,0,52.34,1049.9526031523,0,41,Motors_Started,
1200,2025-01-07 01:02:59,0,0,0,,,1049.9526031523,0.328084,0,0,0,6,0,11.953,1049.9526031523,0,0,0,0,0,0,100.2, -0.6, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,101.1,0,0,98,3.942,3.911,3.917,0,0,0,1.417,52.34,1049.9526031523,0,41,Motors_Started,
